Query,Time,Value,Unit
"name=""joe biden"" AND channel=""CNN""",2010-01-01,42.018,seconds
"name=""joe biden"" AND channel=""CNN""",2010-01-02,30.018,seconds
"name=""joe biden"" AND channel=""CNN""",2010-01-07,3,seconds
"name=""joe biden"" AND channel=""CNN""",2010-01-08,81.054,seconds
"name=""joe biden"" AND channel=""CNN""",2010-01-09,39.03,seconds
"name=""joe biden"" AND channel=""CNN""",2010-01-11,72.033,seconds
"name=""joe biden"" AND channel=""CNN""",2010-01-12,21.003,seconds
"name=""joe biden"" AND channel=""CNN""",2010-01-13,480.438,seconds
"name=""joe biden"" AND channel=""CNN""",2010-01-14,27.024,seconds
"name=""joe biden"" AND channel=""CNN""",2010-01-16,429.289,seconds
"name=""joe biden"" AND channel=""CNN""",2010-01-20,306.283,seconds
"name=""joe biden"" AND channel=""CNN""",2010-01-21,305.27,seconds
"name=""joe biden"" AND channel=""CNN""",2010-01-22,75.033,seconds
"name=""joe biden"" AND channel=""CNN""",2010-01-23,72.039,seconds
"name=""joe biden"" AND channel=""CNN""",2010-01-24,33.021,seconds
"name=""joe biden"" AND channel=""CNN""",2010-01-25,36.009,seconds
"name=""joe biden"" AND channel=""CNN""",2010-01-26,36.012,seconds
"name=""joe biden"" AND channel=""CNN""",2010-01-27,3165.3630000000003,seconds
"name=""joe biden"" AND channel=""CNN""",2010-01-28,5067.172,seconds
"name=""joe biden"" AND channel=""CNN""",2010-01-29,94.964,seconds
"name=""joe biden"" AND channel=""CNN""",2010-01-30,60.027,seconds
"name=""joe biden"" AND channel=""CNN""",2010-01-31,168.10199999999998,seconds
"name=""joe biden"" AND channel=""CNN""",2010-02-01,15,seconds
"name=""joe biden"" AND channel=""CNN""",2010-02-02,69.045,seconds
"name=""joe biden"" AND channel=""CNN""",2010-02-03,3,seconds
"name=""joe biden"" AND channel=""CNN""",2010-02-04,72.039,seconds
"name=""joe biden"" AND channel=""CNN""",2010-02-07,18.003,seconds
"name=""joe biden"" AND channel=""CNN""",2010-02-08,3,seconds
"name=""joe biden"" AND channel=""CNN""",2010-02-09,12.003,seconds
"name=""joe biden"" AND channel=""CNN""",2010-02-10,891.759,seconds
"name=""joe biden"" AND channel=""CNN""",2010-02-11,1762.5629999999999,seconds
"name=""joe biden"" AND channel=""CNN""",2010-02-12,105.069,seconds
"name=""joe biden"" AND channel=""CNN""",2010-02-13,168.132,seconds
"name=""joe biden"" AND channel=""CNN""",2010-02-14,174.11700000000002,seconds
"name=""joe biden"" AND channel=""CNN""",2010-02-15,317.191,seconds
"name=""joe biden"" AND channel=""CNN""",2010-02-16,21.012,seconds
"name=""joe biden"" AND channel=""CNN""",2010-02-17,228.13799999999998,seconds
"name=""joe biden"" AND channel=""CNN""",2010-02-18,522.474,seconds
"name=""joe biden"" AND channel=""CNN""",2010-02-19,61.566,seconds
"name=""joe biden"" AND channel=""CNN""",2010-02-23,21.018,seconds
"name=""joe biden"" AND channel=""CNN""",2010-02-24,6.003,seconds
"name=""joe biden"" AND channel=""CNN""",2010-02-25,300.211,seconds
"name=""joe biden"" AND channel=""CNN""",2010-02-26,15.003,seconds
"name=""joe biden"" AND channel=""CNN""",2010-02-28,18.009999999999998,seconds
"name=""joe biden"" AND channel=""CNN""",2010-03-01,18.009,seconds
"name=""joe biden"" AND channel=""CNN""",2010-03-03,12,seconds
"name=""joe biden"" AND channel=""CNN""",2010-03-04,6,seconds
"name=""joe biden"" AND channel=""CNN""",2010-03-07,57.042,seconds
"name=""joe biden"" AND channel=""CNN""",2010-03-08,15.009,seconds
"name=""joe biden"" AND channel=""CNN""",2010-03-09,87.051,seconds
"name=""joe biden"" AND channel=""CNN""",2010-03-10,6,seconds
"name=""joe biden"" AND channel=""CNN""",2010-03-11,78.051,seconds
"name=""joe biden"" AND channel=""CNN""",2010-03-12,3,seconds
"name=""joe biden"" AND channel=""CNN""",2010-03-15,9,seconds
"name=""joe biden"" AND channel=""CNN""",2010-03-16,15.006,seconds
"name=""joe biden"" AND channel=""CNN""",2010-03-17,240.192,seconds
"name=""joe biden"" AND channel=""CNN""",2010-03-18,486.39799999999997,seconds
"name=""joe biden"" AND channel=""CNN""",2010-03-20,3,seconds
"name=""joe biden"" AND channel=""CNN""",2010-03-21,450.429,seconds
"name=""joe biden"" AND channel=""CNN""",2010-03-22,630.552,seconds
"name=""joe biden"" AND channel=""CNN""",2010-03-23,1461.9470000000003,seconds
"name=""joe biden"" AND channel=""CNN""",2010-03-24,225.11700000000002,seconds
"name=""joe biden"" AND channel=""CNN""",2010-03-26,9.003,seconds
"name=""joe biden"" AND channel=""CNN""",2010-03-27,51.039,seconds
"name=""joe biden"" AND channel=""CNN""",2010-03-28,36.012,seconds
"name=""joe biden"" AND channel=""CNN""",2010-03-29,12.003,seconds
"name=""joe biden"" AND channel=""CNN""",2010-03-31,42.024,seconds
