Query,Time,Value,Unit
"name=""joe biden"" AND channel=""FOX""",2010-01-01,114.042,seconds
"name=""joe biden"" AND channel=""FOX""",2010-01-02,63.021,seconds
"name=""joe biden"" AND channel=""FOX""",2010-01-03,63.048,seconds
"name=""joe biden"" AND channel=""FOX""",2010-01-04,66.057,seconds
"name=""joe biden"" AND channel=""FOX""",2010-01-08,9.006,seconds
"name=""joe biden"" AND channel=""FOX""",2010-01-09,15.009,seconds
"name=""joe biden"" AND channel=""FOX""",2010-01-10,9.003,seconds
"name=""joe biden"" AND channel=""FOX""",2010-01-11,24.006,seconds
"name=""joe biden"" AND channel=""FOX""",2010-01-12,135.075,seconds
"name=""joe biden"" AND channel=""FOX""",2010-01-13,201.168,seconds
"name=""joe biden"" AND channel=""FOX""",2010-01-14,120.016,seconds
"name=""joe biden"" AND channel=""FOX""",2010-01-15,63.033,seconds
"name=""joe biden"" AND channel=""FOX""",2010-01-16,879.757,seconds
"name=""joe biden"" AND channel=""FOX""",2010-01-18,12.003,seconds
"name=""joe biden"" AND channel=""FOX""",2010-01-19,30.009,seconds
"name=""joe biden"" AND channel=""FOX""",2010-01-20,49.346000000000004,seconds
"name=""joe biden"" AND channel=""FOX""",2010-01-21,485.923,seconds
"name=""joe biden"" AND channel=""FOX""",2010-01-22,96.06,seconds
"name=""joe biden"" AND channel=""FOX""",2010-01-23,87.051,seconds
"name=""joe biden"" AND channel=""FOX""",2010-01-24,117.093,seconds
"name=""joe biden"" AND channel=""FOX""",2010-01-25,551.4390000000001,seconds
"name=""joe biden"" AND channel=""FOX""",2010-01-26,48.027,seconds
"name=""joe biden"" AND channel=""FOX""",2010-01-27,372.279,seconds
"name=""joe biden"" AND channel=""FOX""",2010-01-28,7726.474999999999,seconds
"name=""joe biden"" AND channel=""FOX""",2010-01-29,518.6310000000001,seconds
"name=""joe biden"" AND channel=""FOX""",2010-01-30,390.25200000000007,seconds
"name=""joe biden"" AND channel=""FOX""",2010-01-31,393.23400000000004,seconds
"name=""joe biden"" AND channel=""FOX""",2010-02-01,114.036,seconds
"name=""joe biden"" AND channel=""FOX""",2010-02-02,33.009,seconds
"name=""joe biden"" AND channel=""FOX""",2010-02-03,99.054,seconds
"name=""joe biden"" AND channel=""FOX""",2010-02-04,107.01,seconds
"name=""joe biden"" AND channel=""FOX""",2010-02-05,39.012,seconds
"name=""joe biden"" AND channel=""FOX""",2010-02-06,18.006,seconds
"name=""joe biden"" AND channel=""FOX""",2010-02-07,9.003,seconds
"name=""joe biden"" AND channel=""FOX""",2010-02-08,3,seconds
"name=""joe biden"" AND channel=""FOX""",2010-02-09,18.003,seconds
"name=""joe biden"" AND channel=""FOX""",2010-02-10,21.009,seconds
"name=""joe biden"" AND channel=""FOX""",2010-02-11,295.52599999999995,seconds
"name=""joe biden"" AND channel=""FOX""",2010-02-12,260.892,seconds
"name=""joe biden"" AND channel=""FOX""",2010-02-13,39.021,seconds
"name=""joe biden"" AND channel=""FOX""",2010-02-14,648.47,seconds
"name=""joe biden"" AND channel=""FOX""",2010-02-15,1015.172,seconds
"name=""joe biden"" AND channel=""FOX""",2010-02-16,425.347,seconds
"name=""joe biden"" AND channel=""FOX""",2010-02-17,1653.0530000000006,seconds
"name=""joe biden"" AND channel=""FOX""",2010-02-18,894.82,seconds
"name=""joe biden"" AND channel=""FOX""",2010-02-19,127.723,seconds
"name=""joe biden"" AND channel=""FOX""",2010-02-23,33.015,seconds
"name=""joe biden"" AND channel=""FOX""",2010-02-24,24.009,seconds
"name=""joe biden"" AND channel=""FOX""",2010-02-25,54.009,seconds
"name=""joe biden"" AND channel=""FOX""",2010-02-26,63.03,seconds
"name=""joe biden"" AND channel=""FOX""",2010-02-27,87.05799999999999,seconds
"name=""joe biden"" AND channel=""FOX""",2010-02-28,27.021,seconds
"name=""joe biden"" AND channel=""FOX""",2010-03-01,75.042,seconds
"name=""joe biden"" AND channel=""FOX""",2010-03-02,6,seconds
"name=""joe biden"" AND channel=""FOX""",2010-03-03,6,seconds
"name=""joe biden"" AND channel=""FOX""",2010-03-04,9,seconds
"name=""joe biden"" AND channel=""FOX""",2010-03-05,6,seconds
