Query,Time,Value,Unit
"name=""joe biden"" AND channel=""MSNBC""",2010-01-01,6,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-01-04,6.003,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-01-06,3,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-01-07,3,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-01-08,187.357,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-01-09,33.018,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-01-10,186.123,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-01-11,114.063,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-01-12,432.294,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-01-13,63.024,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-01-14,138.075,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-01-15,60.033,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-01-16,36.018,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-01-17,3,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-01-18,12.003,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-01-19,3,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-01-20,186.159,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-01-21,330.208,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-01-22,123.06,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-01-24,3,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-01-25,603.5210000000001,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-01-26,45.015,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-01-27,3533.6490000000003,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-01-28,3131.503000000001,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-01-29,606.3929999999999,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-01-30,3,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-01-31,81.039,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-02-01,272.811,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-02-02,933.737,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-02-03,105.06,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-02-04,24,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-02-05,24.003,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-02-08,18,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-02-09,27.012,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-02-10,9.006,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-02-11,495.384,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-02-12,165.132,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-02-13,39.03,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-02-14,1309.21,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-02-15,1915.4120000000003,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-02-16,87.048,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-02-17,129.075,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-02-18,593.933,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-02-19,33.018,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-02-24,12.006,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-02-25,18.006,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-02-26,24,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-03-02,6.003,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-03-03,6,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-03-05,9.003,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-03-07,15.006,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-03-08,54.033,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-03-09,1233.265,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-03-10,735.523,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-03-11,486.35400000000004,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-03-13,9.003,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-03-15,3,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-03-18,87.048,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-03-22,556.9970000000001,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-03-23,998.846,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-03-24,300.156,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-03-26,141.05700000000002,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-03-27,3,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-03-28,3,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-03-30,6,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-03-31,6,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-04-01,6,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-04-02,12.006,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-04-04,6.003,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-04-05,15.006,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-04-06,3,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-04-09,21.006,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-04-11,12.003,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-04-12,6,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-04-13,12.003,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-04-14,9,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-04-15,9.006,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-04-16,15.009,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-04-18,3,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-04-19,135.066,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-04-20,30.006,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-04-21,231.181,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-04-22,99.051,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-04-23,129.096,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-04-26,3,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-04-27,3,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-04-29,63.045,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-05-01,21.012,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-05-02,18.012,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-05-05,3,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-05-06,6.003,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-05-07,38.163,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-05-08,3,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-05-10,350.052,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-05-11,426.19800000000004,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-05-12,279.138,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-05-13,42.012,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-05-14,12,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-05-15,9,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-05-16,6,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-06-14,21.015,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-06-15,21.015,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-06-16,9.006,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-06-17,69.06,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-06-18,156.109,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-06-22,24.012,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-06-23,924.723,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-06-24,510.37200000000007,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-06-25,81.042,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-06-26,12.006,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-06-27,39.018,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-06-28,164.394,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-06-29,30.006,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-06-30,27.015,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-07-01,6.003,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-07-02,27.012,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-07-03,201.093,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-07-04,237.147,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-07-05,1068.94,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-07-06,817.367,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-07-07,108.087,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-07-09,9,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-07-14,33.021,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-07-18,9,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-07-19,210.13500000000005,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-07-20,18.012,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-07-21,844.93,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-07-22,87.051,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-07-23,30.015,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-07-26,11.174,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-07-27,27.012,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-07-28,45.036,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-07-29,240.15,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-08-02,12.006,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-08-03,135.07,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-08-04,57.033,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-08-05,24.012,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-08-06,15.003,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-08-08,3,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-08-11,18.012,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-08-12,18.012,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-08-13,6,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-08-19,6,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-08-20,84.051,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-08-21,24.009,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-08-22,18.012,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-08-23,90.051,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-08-24,474.8790000000001,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-08-25,237.198,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-08-26,9.24,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-08-27,6.003,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-08-30,6,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-08-31,3,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-09-01,960.9220000000001,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-09-06,3,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-09-07,6,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-09-08,30.012,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-09-09,291.24,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-09-10,129.108,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-09-11,3,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-09-14,6.003,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-09-15,2520.2380000000003,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-09-16,1369.121,seconds
"name=""joe biden"" AND channel=""MSNBC""",2010-09-17,468.39399999999995,seconds
