Query,Time,Value,Unit
"name=""joe biden""",2010-01-01,162.06,seconds
"name=""joe biden""",2010-01-02,93.039,seconds
"name=""joe biden""",2010-01-03,63.048,seconds
"name=""joe biden""",2010-01-04,72.06,seconds
"name=""joe biden""",2010-01-06,3,seconds
"name=""joe biden""",2010-01-07,6,seconds
"name=""joe biden""",2010-01-08,277.41700000000003,seconds
"name=""joe biden""",2010-01-09,87.057,seconds
"name=""joe biden""",2010-01-10,195.126,seconds
"name=""joe biden""",2010-01-11,210.10199999999998,seconds
"name=""joe biden""",2010-01-12,588.3720000000001,seconds
"name=""joe biden""",2010-01-13,744.6300000000003,seconds
"name=""joe biden""",2010-01-14,285.115,seconds
"name=""joe biden""",2010-01-15,123.066,seconds
"name=""joe biden""",2010-01-16,1345.0639999999999,seconds
"name=""joe biden""",2010-01-17,3,seconds
"name=""joe biden""",2010-01-18,24.006,seconds
"name=""joe biden""",2010-01-19,33.009,seconds
"name=""joe biden""",2010-01-20,541.788,seconds
"name=""joe biden""",2010-01-21,1121.401,seconds
"name=""joe biden""",2010-01-22,294.153,seconds
"name=""joe biden""",2010-01-23,159.09,seconds
"name=""joe biden""",2010-01-24,153.114,seconds
"name=""joe biden""",2010-01-25,1190.969,seconds
"name=""joe biden""",2010-01-26,129.054,seconds
"name=""joe biden""",2010-01-27,7071.290999999999,seconds
"name=""joe biden""",2010-01-28,15925.150000000001,seconds
"name=""joe biden""",2010-01-29,1219.988,seconds
"name=""joe biden""",2010-01-30,453.2790000000001,seconds
"name=""joe biden""",2010-01-31,642.375,seconds
"name=""joe biden""",2010-02-01,401.847,seconds
"name=""joe biden""",2010-02-02,1035.7910000000002,seconds
"name=""joe biden""",2010-02-03,207.11400000000003,seconds
"name=""joe biden""",2010-02-04,203.04899999999998,seconds
"name=""joe biden""",2010-02-05,63.015,seconds
"name=""joe biden""",2010-02-06,18.006,seconds
"name=""joe biden""",2010-02-07,27.006,seconds
"name=""joe biden""",2010-02-08,24,seconds
"name=""joe biden""",2010-02-09,57.018,seconds
"name=""joe biden""",2010-02-10,921.774,seconds
"name=""joe biden""",2010-02-11,2553.473,seconds
"name=""joe biden""",2010-02-12,531.0929999999998,seconds
"name=""joe biden""",2010-02-13,246.183,seconds
"name=""joe biden""",2010-02-14,2131.7970000000005,seconds
"name=""joe biden""",2010-02-15,3247.775,seconds
"name=""joe biden""",2010-02-16,533.4069999999999,seconds
"name=""joe biden""",2010-02-17,2010.2660000000003,seconds
"name=""joe biden""",2010-02-18,2011.2270000000003,seconds
"name=""joe biden""",2010-02-19,222.30700000000002,seconds
"name=""joe biden""",2010-02-23,54.033,seconds
"name=""joe biden""",2010-02-24,42.018,seconds
"name=""joe biden""",2010-02-25,372.226,seconds
"name=""joe biden""",2010-02-26,102.033,seconds
"name=""joe biden""",2010-02-27,87.05799999999999,seconds
"name=""joe biden""",2010-02-28,45.031,seconds
"name=""joe biden""",2010-03-01,93.051,seconds
"name=""joe biden""",2010-03-02,12.003,seconds
